# Logfile created on 2026-06-08 12:40:19 +0200 by logger.rb/v1.5.3
2026-06-08 12:40:19 +0200: Memory Usage (427488K) : psd_drw has 5 polygons
2026-06-08 12:40:19 +0200: Memory Usage (427616K) : nldb_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (427616K) : digibnd_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (427744K) : via1_drw has 2 polygons
2026-06-08 12:40:19 +0200: Memory Usage (427744K) : backmetal1_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (427744K) : backmetal1_pin has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (427872K) : backmetal1_mask has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (427872K) : backmetal1_filler has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (428000K) : backmetal1_nofill has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (428000K) : backmetal1_slit has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (428128K) : backmetal1_text has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (428128K) : backmetal1_opc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (428256K) : backmetal1_noqrc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (428256K) : backmetal1_res has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (428384K) : backmetal1_iprobe has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (428384K) : backmetal1_diffprb has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (428512K) : backpassiv_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (428512K) : res_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (428640K) : sram_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (428640K) : trans_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (428640K) : ind_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (428640K) : ind_pin has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (428768K) : ind_text has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (428768K) : salblock_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (428896K) : via2_drw has 2 polygons
2026-06-08 12:40:19 +0200: Memory Usage (428896K) : metal3_drw has 2 polygons
2026-06-08 12:40:19 +0200: Memory Usage (429024K) : metal3_pin has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (429024K) : metal3_mask has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (429024K) : metal3_filler has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (429152K) : metal3_nofill has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (429152K) : metal3_slit has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (429280K) : metal3_text has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (429280K) : metal3_opc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (429408K) : metal3_noqrc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (429408K) : metal3_res has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (429408K) : metal3_iprobe has 0 polygons
